id,type,label1,value1,label2,value2,label3,value3,label4,value4,label5,value5,date,observer,url,note,marker,lat,lon
ANSP03B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",343.1,cm3=,266.7,bulk density=,1.286464192,10/13/2013,Peter Donovan,,,,,
ANSP03C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,2.72642827,%N=,0.072992139,C/N=,37.35235498,10/13/2013,"Peter Donovan, Craig Stubler at Cal Poly",,Abundant carbonates.,,,
ANSP03C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",261.1,cm3=,212.7,bulk density=,1.227550541,10/13/2013,Peter Donovan,,,,,
ANSP04,*plot summary,"% carbon, 0-10 cm:",1.43,"% carbon, 10-20 cm:",1.26,"% carbon, 20-35 cm:",,tons C/ha:,67.9,,,10/15/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp4 002.jpg,"On T104 transect line, Ringsveit East pasture, 28 feet east of eastern plastic stake. Tough clay loam, not diggable  >35 cm. Abundant roots. Blocky, moist near top, damp below. ",small_yellow,46.84406,-106.69739
ANSP04,-28ang,,,,,,,,,,,10/15/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp4 002.jpg,step back view,,,
ANSP04,-28vert,,,,,,,,,,,10/15/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp4 001.jpg,hoop at center of carbon plot,,,
ANSP04,infiltration,minutes=,4,mm=,4,mm/min=,1,,,,,10/15/2013,Peter Donovan,,,,,
ANSP04,map,,,,,,,,,,,10/15/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP4map.jpg,,,,
ANSP04,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,4,,,,,,,10/15/2013,Peter Donovan,,At 2 cm depth.,,,
ANSP04A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,1.429430604,%N=,0.119113483,C/N=,12.00057771,10/15/2013,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP04A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",264.1,cm3=,207.6,bulk density=,1.272157996,10/15/2013,Peter Donovan,,,,,
ANSP04B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,20,%C=,1.262385964,%N=,0.067398444,C/N=,18.73019454,10/15/2013,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP04B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",362.1,cm3=,249.1,bulk density=,1.453633079,10/15/2013,Peter Donovan,,,,,
ANSP04C,"CN analysis, 8 composited probe samples",top(cm)=,20,bottom(cm)=,35,%C=,1.361192822,%N=,0.071150623,C/N=,19.13114404,10/15/2013,"Peter Donovan, Craig Stubler at Cal Poly",,Abundant carbonates.,,,
ANSP04C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",450.2,cm3=,292.6,bulk density=,1.538619275,10/15/2013,Peter Donovan,,,,,
ANSP05,*plot summary,"% carbon, 0-10 cm:",2.3,"% carbon, 10-20 cm:",2.21,"% carbon, 20-35 cm:",1.84,tons C/ha:,96.4,,,10/15/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp5 002.jpg,"T105 Cottonwood transect at 88' mark. Heavy blue grama sod, about 25% bare. Tough clay >8 cm, sampled only to 35cm..",small_yellow,46.88215,-106.71323
ANSP05,88ang,,,,,,,,,,,10/15/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp5 002.jpg,step back view,,,
ANSP05,88vert,,,,,,,,,,,10/15/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp5 001.jpg,hoop at center of carbon plot,,,
ANSP05,infiltration,minutes=,4,mm=,10,mm/min=,2.5,,,,,10/15/2013,Peter Donovan,,,,,
ANSP05,map,,,,,,,,,,,10/15/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP5map.jpg,,,,
ANSP05,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,4,,,,,,,10/15/2013,Peter Donovan,,At 2 cm depth.,,,
ANSP05A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,2.299010992,%N=,0.189079627,C/N=,12.15895665,10/15/2013,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP05A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",315.8,cm3=,234.9,bulk density=,1.344401873,10/15/2013,Peter Donovan,,,,,
ANSP05B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,20,%C=,2.211402416,%N=,0.09581469,C/N=,23.07999344,10/15/2013,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP05B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",295.1,cm3=,227.3,bulk density=,1.298284206,10/15/2013,Peter Donovan,,,,,
ANSP05C,"CN analysis, 8 composited probe samples",top(cm)=,20,bottom(cm)=,35,%C=,1.837923288,%N=,0.068554528,C/N=,26.80965562,10/15/2013,"Peter Donovan, Craig Stubler at Cal Poly",,Abundant carbonates.,,,
ANSP05C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",295.2,cm3=,221,bulk density=,1.335746606,10/15/2013,Peter Donovan,,,,,
ANSP06,*plot summary,"% carbon, 0-10 cm:",2.34,"% carbon, 10-25 cm:",1.48,"% carbon, 25-40 cm:",1.72,tons C/ha:,94.5,,,10/16/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp6 002.jpg,"T106 Pumphouse pasture, 88'. Firm silty loam, rootbound 0-7cm. ",small_yellow,46.91373,-106.77026
ANSP06,88ang,,,,,,,,,,,10/16/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp6 002.jpg,step back view,,,
ANSP06,88vert,,,,,,,,,,,10/16/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp6 001.jpg,hoop at center of carbon plot,,,
ANSP06,infiltration,minutes=,4,mm=,6,mm/min=,1.5,,,,,10/16/2013,Peter Donovan,,,,,
ANSP06,map,,,,,,,,,,,10/16/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP6map.jpg,,,,
ANSP06,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,3,,,,,,,10/16/2013,Peter Donovan,,At 2 cm depth.,,,
ANSP06A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,2.337056637,%N=,0.213758543,C/N=,10.93316133,10/16/2013,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP06A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",304.1,cm3=,234.5,bulk density=,1.296801706,10/16/2013,Peter Donovan,,,,,
ANSP06B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,25,%C=,1.480459929,%N=,0.144787237,C/N=,10.22507203,10/16/2013,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP06B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",353.1,cm3=,268.8,bulk density=,1.313616071,10/16/2013,Peter Donovan,,,,,
ANSP06C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,1.721945405,%N=,0.088456348,C/N=,19.46661209,10/16/2013,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP06C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",267.6,cm3=,197.2,bulk density=,1.356997972,10/16/2013,Peter Donovan,,,,,
ANSP07,*plot summary,"% carbon, 0-10 cm:",1.003,"% carbon, 10-25 cm:",0.874,"% carbon, 25-40 cm:",0.78,tons C/ha:,47.8,,,10/15/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp7 002.jpg,"T107 North High Hill. Sandy soil, varied cover including prairie sandreed, sage, prickly pear. Roots. Some samples very hard 10-20. Composited probe samples from grid points 16, 19, 22, 25.",small_yellow,46.91987,-106.72177
ANSP07,44ang,,,,,,,,,,,10/15/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp7 002.jpg,,,,
ANSP07,44vert,,,,,,,,,,,10/15/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp7 001.jpg,,,,
ANSP07,infiltration,minutes=,3,mm=,13,mm/min=,4.333333333,,,,,10/15/2013,Peter Donovan,,,,,
