group,id,type,label1,value1,label2,value2,label3,value3,label4,value4,label5,value5,date,observer,url,note,marker,lat,lon
ANSP01,ANSP01C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,3.824745655,%N=,0.072488166,C/N=,52.76372469,13-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,Abundant carbonates.,,,
ANSP01,ANSP01C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",244.7,cm3=,213.8,bulk density=,1.144527596,13-Oct-13,Peter Donovan,,,,,
ANSP01,geometry,,,,,,,,,,,,,,,,,46.75803,-106.69706
ANSP02,ANSP02,*plot summary,"% carbon, 0-10 cm:",1.22,"% carbon, 10-25 cm:",1.28,"% carbon, 25-40 cm:",1.73,tons C/ha:,73.7,,,13-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp2 002.jpg,"T202 transect, Ringsveit East. Signs of surface water movement across this plot, west to east. Loam, firm tough clayier layer > 35 cm.",small_yellow,,
ANSP02,ANSP02,148ang,,,,,,,,,,,13-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp2 002.jpg,step back view,,,
ANSP02,ANSP02,148vert,,,,,,,,,,,13-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp2 001.jpg,hoop at center of carbon plot,,,
ANSP02,ANSP02,infiltration,minutes=,4,mm=,12,mm/min=,3,,,,,13-Oct-13,Peter Donovan,,,,,
ANSP02,ANSP02,map,,,,,,,,,,,13-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP2map.jpg,,,,
ANSP02,ANSP02,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,10,,,,,,,13-Oct-13,Peter Donovan,,At 2 cm depth.,,,
ANSP02,ANSP02A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,1.224256277,%N=,0.111803636,C/N=,10.95005781,13-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP02,ANSP02A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",235.4,cm3=,231.4,bulk density=,1.017286085,13-Oct-13,Peter Donovan,,,,,
ANSP02,ANSP02B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,25,%C=,1.28340888,%N=,0.105126813,C/N=,12.20819735,13-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP02,ANSP02B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",267.5,cm3=,210.7,bulk density=,1.269577598,13-Oct-13,Peter Donovan,,,,,
ANSP02,ANSP02C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,1.726738691,%N=,0.066009678,C/N=,26.15887162,13-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,Abundant carbonates.,,,
ANSP02,ANSP02C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",312.5,cm3=,220,bulk density=,1.420454545,13-Oct-13,Peter Donovan,,,,,
ANSP02,geometry,,,,,,,,,,,,,,,,,46.81012,-106.69692
ANSP03,ANSP03,*plot summary,"% carbon, 0-10 cm:",1.38,"% carbon, 10-25 cm:",1.47,"% carbon, 25-40 cm:",2.73,tons C/ha:,97.1,,,13-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp3 002.jpg,"Ringsveit West, T103 transect. Firm soil, roots abundant. Well covered soil.",small_yellow,,
ANSP03,ANSP03,88ang,,,,,,,,,,,13-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp3 002.jpg,step back view,,,
ANSP03,ANSP03,88vert,,,,,,,,,,,13-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp3 001.jpg,hoop at center of carbon plot,,,
ANSP03,ANSP03,infiltration,minutes=,4,mm=,12,mm/min=,3,,,,,13-Oct-13,Peter Donovan,,,,,
ANSP03,ANSP03,map,,,,,,,,,,,13-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP3map.jpg,,,,
ANSP03,ANSP03,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,3,,,,,,,13-Oct-13,Peter Donovan,,At 2 cm depth.,,,
ANSP03,ANSP03A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,1.378572941,%N=,0.118740872,C/N=,11.60992776,13-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP03,ANSP03A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",323.1,cm3=,241.8,bulk density=,1.336228288,13-Oct-13,Peter Donovan,,,,,
ANSP03,ANSP03B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,25,%C=,1.473424554,%N=,0.10713926,C/N=,13.75242427,13-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP03,ANSP03B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",343.1,cm3=,266.7,bulk density=,1.286464192,13-Oct-13,Peter Donovan,,,,,
ANSP03,ANSP03C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,2.72642827,%N=,0.072992139,C/N=,37.35235498,13-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,Abundant carbonates.,,,
ANSP03,ANSP03C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",261.1,cm3=,212.7,bulk density=,1.227550541,13-Oct-13,Peter Donovan,,,,,
ANSP03,geometry,,,,,,,,,,,,,,,,,46.82644,-106.74742
ANSP04,ANSP04,*plot summary,"% carbon, 0-10 cm:",1.43,"% carbon, 10-20 cm:",1.26,"% carbon, 20-35 cm:",,tons C/ha:,67.9,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp4 002.jpg,"On T104 transect line, Ringsveit East pasture, 28 feet east of eastern plastic stake. Tough clay loam, not diggable  >35 cm. Abundant roots. Blocky, moist near top, damp below. ",small_yellow,,
ANSP04,ANSP04,-28ang,,,,,,,,,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp4 002.jpg,step back view,,,
ANSP04,ANSP04,-28vert,,,,,,,,,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp4 001.jpg,hoop at center of carbon plot,,,
ANSP04,ANSP04,infiltration,minutes=,4,mm=,4,mm/min=,1,,,,,15-Oct-13,Peter Donovan,,,,,
ANSP04,ANSP04,map,,,,,,,,,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP4map.jpg,,,,
ANSP04,ANSP04,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,4,,,,,,,15-Oct-13,Peter Donovan,,At 2 cm depth.,,,
ANSP04,ANSP04A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,1.429430604,%N=,0.119113483,C/N=,12.00057771,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP04,ANSP04A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",264.1,cm3=,207.6,bulk density=,1.272157996,15-Oct-13,Peter Donovan,,,,,
ANSP04,ANSP04B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,20,%C=,1.262385964,%N=,0.067398444,C/N=,18.73019454,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP04,ANSP04B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",362.1,cm3=,249.1,bulk density=,1.453633079,15-Oct-13,Peter Donovan,,,,,
ANSP04,ANSP04C,"CN analysis, 8 composited probe samples",top(cm)=,20,bottom(cm)=,35,%C=,1.361192822,%N=,0.071150623,C/N=,19.13114404,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,Abundant carbonates.,,,
ANSP04,ANSP04C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",450.2,cm3=,292.6,bulk density=,1.538619275,15-Oct-13,Peter Donovan,,,,,
ANSP04,geometry,,,,,,,,,,,,,,,,,46.84406,-106.69739
ANSP05,ANSP05,*plot summary,"% carbon, 0-10 cm:",2.3,"% carbon, 10-20 cm:",2.21,"% carbon, 20-35 cm:",1.84,tons C/ha:,96.4,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp5 002.jpg,"T105 Cottonwood transect at 88' mark. Heavy blue grama sod, about 25% bare. Tough clay >8 cm, sampled only to 35cm..",small_yellow,,
ANSP05,ANSP05,88ang,,,,,,,,,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp5 002.jpg,step back view,,,
ANSP05,ANSP05,88vert,,,,,,,,,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp5 001.jpg,hoop at center of carbon plot,,,
ANSP05,ANSP05,infiltration,minutes=,4,mm=,10,mm/min=,2.5,,,,,15-Oct-13,Peter Donovan,,,,,
ANSP05,ANSP05,map,,,,,,,,,,,15-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP5map.jpg,,,,
ANSP05,ANSP05,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,4,,,,,,,15-Oct-13,Peter Donovan,,At 2 cm depth.,,,
ANSP05,ANSP05A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,2.299010992,%N=,0.189079627,C/N=,12.15895665,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP05,ANSP05A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",315.8,cm3=,234.9,bulk density=,1.344401873,15-Oct-13,Peter Donovan,,,,,
